company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
AutoZone,249,-11,14629.6,2170.3,,Retailing,Memphis,TN,no,no,no,yes
Lam Research,250,54,14626.2,3908.5,,Technology,Fremont,CA,no,no,no,yes
American Family Insurance Group,251,-19,14611.9,734.5,,Financials,Madison,WI,no,no,no,yes
BorgWarner,244,51,14838,537,,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes
Nordstrom,245,44,14789,178,,Retailing,Seattle,WA,no,no,no,yes
Loews,246,-7,14657,1578,,Financials,New York,NY,no,no,no,yes
Guardian Life Ins. Co. of America,247,-20,14647.8,288.8,,Financials,New York,NY,no,no,no,yes
Murphy USA,240,82,15318.8,396.9,,Retailing,El Dorado,AR,no,no,no,yes
Halliburton,241,-30,15295,1457,,Energy,Houston,TX,no,no,no,yes
Automatic Data Processing,242,-34,15005.4,2598.5,,Business Services,Roseland,NJ,no,no,no,yes
Edison International,243,-17,14905,759,,Energy,Rosemead,CA,no,no,no,yes
Synchrony Financial,236,-49,15752,4221,,Financials,Stamford,CT,no,no,no,yes
Corteva,237,-23,15655,1759,,"Food, Beverages & Tobacco",Indianapolis,IN,no,no,no,yes
Fidelity National Financial,238,50,15643,2422,,Financials,Jacksonville,FL,no,no,no,yes
DTE Energy,239,11,15369,907,,Energy,Detroit,MI,no,no,no,yes
Land O'Lakes,232,-13,15916.4,287.4,,"Food, Beverages & Tobacco",Arden Hills,MN,no,no,yes,yes
Cheniere Energy,233,95,15864,-2343,,Energy,Houston,TX,no,no,no,no
Southwest Airlines,234,102,15790,977,,Transportation,Dallas,TX,no,no,no,yes
Adobe,235,-1,15785,4822,,Technology,San Jose,CA,no,no,no,yes
Estée Lauder,228,-15,16215,2870,,Household Products,New York,NY,no,no,no,yes
Bank of New York Mellon,229,-49,16158,3759,,Financials,New York,NY,no,no,no,yes
Laboratory Corp. of America,230,-12,16120.9,2377.3,,Health Care,Burlington,NC,no,no,no,yes
Regeneron Pharmaceuticals,231,123,16071.7,8075.3,,Health Care,Tarrytown,NY,no,yes,no,yes
Expeditors Intl. of Washington,225,74,16523.5,1415.5,,Transportation,Seattle,WA,no,no,no,yes
Advanced Micro Devices,226,83,16434,3162,,Technology,Santa Clara,CA,no,no,yes,yes
Fiserv,227,-22,16226,1334,,Business Services,Brookfield,WI,no,no,no,yes
Gap,220,1,16670,256,,Retailing,San Francisco,CA,no,no,no,yes
BJ's Wholesale Club,221,-23,16667.3,426.7,,Retailing,Westborough,MA,no,no,no,yes
Reinsurance Group of America,222,-15,16658,617,,Financials,Chesterfield,MO,no,no,yes,yes
Kinder Morgan,223,39,16610,1784,,Energy,Houston,TX,no,no,no,yes
Oneok,224,127,16540.3,1499.7,,Energy,Tulsa,OK,no,no,no,yes
Western Digital,217,-35,16922,821,,Technology,San Jose,CA,no,no,no,yes
PPG Industries,218,2,16802,1439,,Chemicals,Pittsburgh,PA,no,no,no,yes
American Electric Power,219,-15,16792,2488.1,,Energy,Columbus,OH,no,no,no,yes
DuPont,213,-69,17160,6467,,Chemicals,Wilmington,DE,no,no,no,yes
Stryker,214,-2,17108,1994,,Health Care,Kalamazoo,MI,no,no,no,yes
NextEra Energy,215,-49,17069,3573,,Energy,Juno Beach,FL,no,no,no,yes
Targa Resources,216,148,16949.8,71.2,,Energy,Houston,TX,no,no,no,yes
Goodyear Tire & Rubber,209,37,17478,764,,Motor Vehicles & Parts,Akron,OH,no,no,no,yes
Uber Technologies,210,71,17455,-496,,Technology,San Francisco,CA,no,no,no,no
Colgate-Palmolive,211,-23,17421,2166,,Household Products,New York,NY,no,no,no,yes
Stanley Black & Decker,212,-3,17252.7,1689.2,,Household Products,New Britain,CT,no,no,no,yes
DISH Network,205,-8,17881.1,2410.6,,Telecommunications,Englewood,CO,no,no,no,yes
L3Harris Technologies,206,-43,17814,1846,,Aerospace & Defense,Melbourne,FL,no,no,no,yes
DXC Technology,207,-55,17729,-149,,Technology,Tysons,VA,no,no,no,no
Block,208,115,17661.2,166.3,,Business Services,San Francisco,CA,no,yes,no,yes
General Mills,201,-32,18127,2339.8,,"Food, Beverages & Tobacco",Minneapolis,MN,no,no,no,yes
Tenneco,202,-3,18035,35,,Motor Vehicles & Parts,Lake Forest,IL,no,no,no,yes
Waste Management,203,-1,17931,1816,,Business Services,Houston,TX,no,no,no,yes
Viatris,204,50,17886.3,-1269.1,,Health Care,Canonsburg,PA,no,no,no,no
WESCO International,200,45,18217.5,465.4,,Wholesalers,Pittsburgh,PA,no,no,no,yes
Moderna,195,,18471,12202,,Health Care,Cambridge,MA,yes,no,no,yes
Steel Dynamics,196,123,18408.9,3214.1,,Materials,Fort Wayne,IN,no,yes,no,yes
HF Sinclair,197,82,18389.1,558.3,,Energy,Dallas,TX,no,no,no,yes
Texas Instruments,198,12,18344,7769,,Technology,Dallas,TX,no,no,no,yes
Emerson Electric,199,-18,18236,2303,,Industrials,St. Louis,MO,no,no,no,yes
Genuine Parts,191,-18,18870.5,898.8,,Wholesalers,Atlanta,GA,no,no,no,yes
WestRock,192,-22,18746.1,838.3,,Materials,Atlanta,GA,no,no,no,yes
EOG Resources,193,92,18642,4664,,Energy,Houston,TX,no,no,no,yes
Cognizant Technology Solutions,194,-9,18507,2137,,Technology,Teaneck,NJ,no,no,no,yes
Lincoln National,187,-15,19230,1405,,Financials,Radnor,PA,no,no,yes,yes
Charles Schwab,188,63,18996,5855,,Financials,Westlake,TX,no,no,no,yes
Ross Stores,189,53,18916.2,1722.6,,Retailing,Dublin,CA,no,no,yes,yes
Mastercard,190,11,18884,8687,,Business Services,Purchase,NY,no,no,no,yes
Kohl's,183,12,19433,938,,Retailing,Menomonee Falls,WI,no,no,yes,yes
BlackRock,184,8,19374,5901,,Financials,New York,NY,no,no,no,yes
Jones Lang LaSalle,185,1,19367,961.6,,Financials,Chicago,IL,no,no,no,yes
Lear,186,-7,19263.1,373.9,,Motor Vehicles & Parts,Southfield,MI,no,no,no,yes
Lumen Technologies,179,-40,19687,2033,,Telecommunications,Monroe,LA,no,no,no,yes
Avnet,180,-12,19534.7,193.1,,Wholesalers,Phoenix,AZ,no,no,no,yes
Tenet Healthcare,181,-14,19485,914,,Health Care,Dallas,TX,no,no,no,yes
Kimberly-Clark,182,-24,19440,1814,,Household Products,Irving,TX,no,no,no,yes
Sherwin-Williams,175,-13,19944.6,1864.4,,Chemicals,Cleveland,OH,no,no,no,yes
Builders FirstSource,176,174,19893.9,1725.4,,Materials,Dallas,TX,no,no,no,yes
Marsh & McLennan,177,-2,19820,3143,,Financials,New York,NY,no,no,no,yes
PNC Financial Services Group,178,-58,19698,5674,,Financials,Pittsburgh,PA,no,no,no,yes
Cleveland-Cliffs,171,,20444,2988,,Materials,Cleveland,OH,yes,no,no,yes
United States Steel,172,138,20275,4174,,Materials,Pittsburgh,PA,no,no,no,yes
Becton Dickinson,173,4,20248,2092,,Health Care,Franklin Lakes,NJ,no,no,no,yes
CDW,166,-5,20820.8,988.6,,Technology,Lincolnshire,IL,no,no,yes,yes
ManpowerGroup,167,-2,20724.4,382.4,,Business Services,Milwaukee,WI,no,no,no,yes
PG&E,168,-8,20642,-102,,Energy,San Francisco,CA,no,no,yes,no
Carrier Global,169,2,20613,1664,,Industrials,Palm Beach Gardens,FL,no,no,no,yes
Baker Hughes,170,-30,20502,-219,,Energy,Houston,TX,no,no,no,no
Whirlpool,162,-8,21985,1783,,Industrials,Benton Harbor,MI,no,no,no,yes
Union Pacific,163,-10,21804,6523,,Transportation,Omaha,NE,no,no,no,yes
International Paper,164,-23,21780,1752,,Materials,Memphis,TN,no,no,no,yes
Altria Group,165,-27,21111,2475,,"Food, Beverages & Tobacco",Richmond,VA,no,no,no,yes
Lithia Motors,158,73,22831.7,1060,,Retailing,Medford,OR,no,no,no,yes
Blackstone,159,295,22577.1,5857.4,,Financials,New York,NY,no,yes,no,yes
Hartford Financial Services Group,160,-18,22390,2365,,Financials,Hartford,CT,no,no,no,yes
Aflac,161,-30,22106,4325,,Financials,Columbus,GA,no,no,no,yes
C.H. Robinson Worldwide,154,37,23102.1,844.2,,Transportation,Eden Prairie,MN,no,no,no,yes
Truist Financial,155,-36,23064,6440,,Financials,Charlotte,NC,no,no,no,yes
Applied Materials,156,20,23063,5888,,Technology,Santa Clara,CA,no,no,no,yes
Freeport-McMoRan,157,58,22845,4306,,Energy,Phoenix,AZ,no,no,no,yes
Paccar,151,8,23522.3,1852.1,,Motor Vehicles & Parts,Bellevue,WA,no,no,no,yes
McDonald's,152,5,23222.9,7545.2,,"Hotels, Restaurants & Leisure",Chicago,IL,no,no,no,yes
Southern,153,-7,23113,2393,,Energy,Atlanta,GA,no,no,no,yes
Visa,147,-14,24105,12311,,Business Services,San Francisco,CA,no,no,no,yes
Rite Aid,148,-16,24043.4,-90.9,,Food & Drug Stores,Camp Hill,PA,no,no,yes,no
Cummins,149,1,24021,2131,,Industrials,Columbus,IN,no,no,yes,yes
U.S. Bancorp,150,-37,23714,7963,,Financials,Minneapolis,MN,no,no,no,yes
PayPal Holdings,143,-9,25371,4169,,Business Services,San Jose,CA,no,no,no,yes
Macy's,144,20,25292,1430,,Retailing,New York,NY,no,no,no,yes
Duke Energy,145,-19,24677,3908,,Energy,Charlotte,NC,no,no,yes,yes
United Airlines Holdings,146,54,24634,-1964,,Transportation,Chicago,IL,no,no,no,no
Amgen,140,-28,25979,5893,,Health Care,Thousand Oaks,CA,no,no,no,yes
AutoNation,141,4,25844,1373,,Retailing,Fort Lauderdale,FL,no,no,no,yes
Penske Automotive Group,142,1,25554.7,1187.8,,Retailing,Bloomfield Hills,MI,no,no,no,yes
Salesforce,136,1,26492,1444,,Technology,San Francisco,CA,no,yes,no,yes
Dollar Tree,137,-26,26321.2,1327.9,,Retailing,Chesapeake,VA,no,no,no,yes
KKR,138,178,26141.3,4666.5,,Financials,New York,NY,no,no,no,yes
Kraft Heinz,139,-29,26042,1012,,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes
NRG Energy,133,200,26989,2187,,Energy,Houston,TX,no,no,no,yes
Nvidia,134,50,26914,9752,,Technology,Santa Clara,CA,no,yes,no,yes
Occidental Petroleum,135,48,26772,2322,,Energy,Houston,TX,no,no,yes,yes
Gilead Sciences,129,-13,27305,6225,,Health Care,Foster City,CA,no,no,no,yes
PBF Energy,130,73,27253.4,231,,Energy,Parsippany,NJ,no,no,no,yes
Lennar,131,-2,27130.7,4430.1,,Engineering & Construction,Miami,FL,no,no,no,yes
United Natural Foods,132,-25,26992,149,,Wholesalers,Providence,RI,no,no,no,yes
Molina Healthcare,125,30,27771,659,,Health Care,Long Beach,CA,no,no,no,yes
CBRE Group,126,-4,27746,1836.6,,Financials,Dallas,TX,no,no,no,yes
Micron Technology,127,8,27705,5861,,Technology,Boise,ID,no,no,no,yes
Broadcom,128,-7,27450,6736,,Technology,San Jose,CA,no,no,no,yes
Eli Lilly,122,-4,28318.4,5581.7,,Health Care,Indianapolis,IN,no,no,no,yes
Hewlett Packard Enterprise,123,-17,27784,3427,,Technology,Houston,TX,no,no,no,yes
D.R. Horton,124,24,27774.2,4175.8,,Engineering & Construction,Arlington,TX,no,no,no,yes
