company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
CrossAmerica Partners,776,,3350.5,21.7,,Energy,Allentown,PA,no,no,no,yes
Mr. Cooper Group,777,,3344,1454,,Financials,Coppell,TX,no,no,no,yes
Take-Two Interactive Software,770,,3372.8,588.9,,Media,New York,NY,no,no,no,yes
Boyd Gaming,771,,3369.8,463.8,,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,yes
Plexus,772,,3368.9,138.9,,Technology,Neenah,WI,no,no,no,yes
ScanSource,773,,3364.2,10.8,,Wholesalers,Greenville,SC,no,yes,no,yes
Public Storage,765,,3415.8,1953.3,,Financials,Glendale,CA,no,no,no,yes
Cabot,766,,3409,250,,Chemicals,Boston,MA,no,no,no,yes
Crane Holdings,767,,3408,435.4,,Industrials,Stamford,CT,no,no,no,yes
Atmos Energy,768,,3407.5,665.6,,Energy,Dallas,TX,no,no,no,yes
Selective Insurance Group,769,,3379.2,403.8,,Financials,Branchville,NJ,no,no,no,yes
Brown-Forman,759,,3461,903,,"Food, Beverages & Tobacco",Louisville,KY,no,no,no,yes
Navient,761,,3454,717,,Financials,Wilmington,DE,no,no,no,yes
Option Care Health,763,,3438.6,139.9,,Health Care,Bannockburn,IL,no,no,no,yes
Floor & Decor Holdings,764,,3433.5,283.2,,Retailing,Atlanta,GA,no,no,no,yes
SiteOne Landscape Supply,756,,3475.7,238.4,,Wholesalers,Roswell,GA,no,no,no,yes
Texas Roadhouse,757,,3463.9,245.3,,"Hotels, Restaurants & Leisure",Louisville,KY,no,no,no,yes
Akamai Technologies,758,,3461.2,651.6,,Technology,Cambridge,MA,no,yes,no,yes
Acuity Brands,759,,3461,306.3,,Industrials,Atlanta,GA,no,no,no,yes
Primoris Services,752,,3497.6,115.6,,Engineering & Construction,Dallas,TX,no,no,no,yes
Cboe Global Markets,753,,3494.8,529,,Financials,Chicago,IL,no,no,no,yes
Carter's,754,,3486.4,339.7,,Apparel,Atlanta,GA,no,no,no,yes
TopBuild,755,,3486.2,324,,Engineering & Construction,Daytona Beach,FL,no,no,no,yes
Rithm Capital,747,,3533.1,772.2,,Financials,New York,NY,no,no,no,yes
Medical Mutual of Ohio,748,,3514.8,78.3,,Financials,Cleveland,OH,no,no,no,yes
Granite Construction,749,,3501.9,10.1,,Engineering & Construction,Watsonville,CA,no,no,no,yes
Valmont Industries,750,,3501.6,195.6,,Materials,Omaha,NE,no,no,no,yes
Sprague Resources,751,,3498.2,-68.9,,Energy,Portsmouth,NH,no,no,no,no
Super Micro Computer,743,,3557.4,111.9,,Technology,San Jose,CA,no,yes,no,yes
Flowserve,744,,3541.1,125.9,,Industrials,Irving,TX,no,no,no,yes
Charles River Laboratories International,745,,3540.2,391,,Health Care,Wilmington,MA,no,no,no,yes
A.O. Smith,746,,3538.9,487.1,,Industrials,Milwaukee,WI,no,no,no,yes
Ciena,738,,3620.7,500.2,,Technology,Hanover,MD,no,no,no,yes
PriceSmart,739,,3619.9,98,,Retailing,San Diego,CA,no,no,yes,yes
Advantage Solutions,740,,3602.3,54.5,,Business Services,Irvine,CA,no,no,yes,yes
H&R Block,741,,3588.6,683.9,,Financials,Kansas City,MO,no,no,no,yes
iHeartMedia,742,,3558.3,-159.2,,Media,San Antonio,TX,no,no,no,no
Parsons,733,,3660.8,64.1,,Aerospace & Defense,Centreville,VA,no,no,yes,yes
Trimble,734,,3659.1,492.7,,Technology,Sunnyvale,CA,no,no,no,yes
OGE Energy,735,,3653.7,737.3,,Energy,Oklahoma City,OK,no,no,no,yes
Garrett Motion,736,,3633,,,Motor Vehicles & Parts,Plymouth,MI,no,no,no,no
Winnebago Industries,737,,3629.8,281.9,,Motor Vehicles & Parts,Eden Prairie,MN,no,no,no,yes
Southwest Gas Holdings,728,,3680.5,200.8,,Energy,Las Vegas,NV,no,no,yes,yes
Pitney Bowes,729,,3673.6,-1.4,,Technology,Stamford,CT,no,no,no,no
Lamb Weston Holdings,730,,3670.9,317.8,,"Food, Beverages & Tobacco",Eagle,ID,no,no,no,yes
Alliant Energy,731,,3669,659,,Energy,Madison,WI,no,no,no,yes
Resolute Forest Products,732,,3664,307,,Materials,Calhoun,TN,no,no,no,yes
Mettler-Toledo International,724,,3717.9,769,,Technology,Columbus,OH,no,no,no,yes
Abercrombie & Fitch,725,,3712.8,263,,Retailing,New Albany,OH,no,no,yes,yes
Teradyne,726,,3702.9,1014.6,,Technology,North Reading,MA,no,no,no,yes
American Equity Investment Life Holding,727,,3689.5,474,,Financials,West Des Moines,IA,no,no,no,yes
RH,720,,3758.8,688.5,,Retailing,Corte Madera,CA,no,no,no,yes
EPAM Systems,721,,3758.1,481.7,,Technology,Newtown,PA,no,yes,no,yes
M/I Homes,722,,3745.9,396.9,,Engineering & Construction,Columbus,OH,no,no,no,yes
Generac Holdings,723,,3737.2,550.5,,Industrials,Waukesha,WI,no,no,no,yes
Pinnacle West Capital,716,,3803.8,618.7,,Energy,Phoenix,AZ,no,no,no,yes
Mueller Industries,718,,3769.3,468.5,,Industrials,Collierville,TN,no,no,no,yes
Wynn Resorts,719,,3763.7,-755.8,,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,no
Ventas,711,,3828,49,,Financials,Chicago,IL,no,no,yes,yes
GoDaddy,712,,3815.7,242.3,,Technology,Tempe,AZ,no,no,no,yes
Regal Rexnord,713,,3810.3,209.9,,Industrials,Beloit,WI,no,no,no,yes
Puget Energy,714,,3805.7,260.8,,Energy,Bellevue,WA,no,no,yes,yes
Clean Harbors,715,,3805.6,203.2,,Business Services,Norwell,MA,no,yes,no,yes
Terex,706,,3886.8,220.9,,Industrials,Norwalk,CT,no,no,no,yes
